事件,事件名,代码,类型,状态,T0日期,前20日,T0当日,T+5,T+20,T+60,T+120,最大回撤,回撤窗口完整,日均成交额,超额T+5,超额T+20,超额T+60,超额T+120,超额前20日
E3,俄乌战争爆发,MOS,股票,ok,2022-02-24,0.11798153841948911,0.003318687598531156,0.23410456458734674,0.5203475057748277,0.284879023709359,0.20483964371977215,-0.4398617279889879,True,216676972.68566132,0.20149428565364724,0.44939255788604515,0.35860708208849645,0.18617847105615248,0.14679817553041996
E3,俄乌战争爆发,NTR,股票,ok,2022-02-24,0.0782369553131319,0.03155345350455363,0.19398192070377784,0.4224469054706419,0.2978534914999802,0.23287758246522716,-0.3684700724510529,True,191609787.5538508,0.16137164177007834,0.35149195758185936,0.3715815498791176,0.2142164098016075,0.10705359242406276
E3,俄乌战争爆发,CF,股票,ok,2022-02-24,0.04635172489317951,0.05477996728928014,0.16944161930469304,0.42857144468286146,0.2913545761286631,0.40212001644783957,-0.26448965626014853,True,233066429.3866857,0.13683134037099354,0.3576164967940789,0.36508263450780054,0.3834588437842199,0.07516836200411037
E3,俄乌战争爆发,IPI,股票,ok,2022-02-24,0.1888772551070863,0.08164167669581901,0.3751103290925548,0.9490291797407588,0.3411297261380668,-0.027360941573685515,-0.6917991478572829,True,4215151.583067576,0.3425000501588553,0.8780742318519763,0.41485778451720423,-0.04602211423730518,0.21769389221801716
E3,俄乌战争爆发,AA,股票,ok,2022-02-24,0.23051812664503601,-0.026818978727486842,0.10050455967204952,0.26347530218855986,-0.19356054349108243,-0.30652890876858696,-0.5699548917905551,True,482411886.9635137,0.06789428073835002,0.19252035429977732,-0.119832485111945,-0.3251900814322066,0.25933476375596687
E3,俄乌战争爆发,CENX,股票,ok,2022-02-24,0.24854144577476633,-0.03364482832658766,0.3294393116859955,0.34672898170843713,-0.45467288391029304,-0.5981308161322124,-0.7721261498017011,True,22395629.53957081,0.296829032752296,0.2757740338196546,-0.3809448255311556,-0.6167919887958321,0.2773580828856972
E3,俄乌战争爆发,ZW=F,期货合约,ok,2022-02-24,0.07090464547677255,0.057077625570776336,0.47146118721461194,0.2394406392694064,0.3341894977168949,-0.12871004566210043,-0.4674618487984564,True,35199137.5125,0.43885090828091244,0.16848569138062386,0.4079175560960323,-0.1473712183257201,0.09972128258770341
E3,俄乌战争爆发,ZC=F,期货合约,ok,2022-02-24,0.10282258064516125,0.01645338208409508,0.09872029250457048,0.09433272394881165,0.13893967093235826,-0.10054844606946989,-0.31041857622975866,True,87779390.47083333,0.06611001357087098,0.02337777606002911,0.2126677293114957,-0.11920961873308955,0.1316392177560921
E3,俄乌战争爆发,WEAT,期货滚动ETF,ok,2022-02-24,0.08226212911876973,0.048693660951506956,0.31947746438060287,0.2387174208078786,0.3657957739676714,-0.04988120071814173,-0.36650482185764777,True,3144711.5213864646,0.28686718544690337,0.16776247291909607,0.4395238323468088,-0.06854237338176139,0.11107876622970059
E3,俄乌战争爆发,CORN,期货滚动ETF,ok,2022-02-24,0.08660716817391201,0.006573535185253387,0.0488907365077027,0.09654890578215003,0.1902218213533713,0.018898894066923244,-0.23826955172037756,True,3571981.9876035056,0.016280457574003204,0.02559395789336749,0.2639498797325087,0.00023772140330358127,0.11542380528484286
E3,俄乌战争爆发,NG=F,期货合约,ok,2022-02-24,0.14063660878775708,-0.011897102195802534,0.0214146601790135,0.16828895815158407,0.7484317390559017,0.9995674118583611,-0.41815060627683887,True,561658.2865418235,-0.011195618754685999,0.09733401026280153,0.8221597974350391,0.9809062391947414,0.16945324589868793
E3,俄乌战争爆发,UNG,期货滚动ETF,ok,2022-02-24,0.18791460587738884,0.010545909891033878,0.032257972912101085,0.17679890358223016,0.720223207107169,0.9776673387743251,-0.4119130123978265,True,135831519.2326053,-0.0003523060215984142,0.10584395569344762,0.7939512654863065,0.9590061661107054,0.2167312429883197
E3,俄乌战争爆发,LEU,股票,ok,2022-02-24,-0.11514716517358825,0.09525085037451486,0.15669439444214883,-0.01153743761455217,-0.3678562066925163,0.005097897085466929,-0.6257533222657555,True,7375417.015546163,0.12408411550844933,-0.08249238550333471,-0.29412814831337886,-0.013563275578152734,-0.0863305280626574
E3,俄乌战争爆发,CCJ,股票,ok,2022-02-24,0.02598682963084742,0.08426687440271441,0.19581101911023424,0.4125669426692975,0.1427179668885028,0.1928884175802259,-0.3482114861295409,True,123876924.932429,0.16320074017653474,0.34161199478051496,0.21644602526764023,0.17422724491660624,0.05480346674177827
E3,俄乌战争爆发,URA,股票ETF,ok,2022-02-24,0.010571711015912477,0.03804083170245387,0.15216353562917662,0.2705658879375077,-0.007608020166938734,-0.025762253311248817,-0.36006370112212616,True,44664311.813131966,0.11955325669547712,0.19961094004872515,0.0661200382121987,-0.04442342597486848,0.03938834812684333
E3,俄乌战争爆发,HO=F,期货合约,ok,2022-02-24,0.05998275840045619,0.023928993534332976,0.23830059768971967,0.46804746966782607,0.32161032821318813,0.27859461805372665,-0.3809440064982227,True,140747.5494507154,0.20569031875602017,0.39709252177904353,0.39533838659232556,0.259933445390107,0.08879939551138705
E3,俄乌战争爆发,CL=F,期货合约,ok,2022-02-24,0.07593458079283844,0.007709002130680487,0.1690553740801548,0.2197611096536196,0.22942459536250426,-0.043322453093098234,-0.3004850370731842,True,32720333.54914614,0.1364450951464553,0.14880616176483707,0.3031526537416417,-0.0619836257567179,0.10475121790376929
E3,俄乌战争爆发,SPY(基准),基准,ok,2022-02-24,-0.028816637110930854,0.015048911267612874,0.0326102789336995,0.07095494788878254,-0.07372805837913743,0.018661172663619663,-0.20561148148970632,True,48807132127.17936,,,,,
E4,缅甸佤邦宣布 8 月起停止锡矿开采,JJT,股票,ok,2023-04-17,0.13317800551073455,0.09054381304988968,0.0628798920919118,0.011065798660801374,0.037979014609483164,,-0.1206257070484944,False,63897.47854029338,0.062467870337779896,0.009732297383957977,-0.05601775520163277,,0.08792754567716088
E4,缅甸佤邦宣布 8 月起停止锡矿开采,TINY,股票,ok,2023-04-17,0.0013459094176850872,-0.007598457564117034,-0.024112248750811416,0.010500547300765994,0.20920237216888582,0.057703271203295436,-0.1559619740271565,True,18295.243355433147,-0.024524270504943324,0.009167046023922598,0.11520560235776989,0.008737742585166242,-0.04390455041588859
E4,缅甸佤邦宣布 8 月起停止锡矿开采,AFMJF,股票,ok,2023-04-17,0.29411784008144126,0.13636349605292963,0.015151401566657174,0.0,0.1666664094303707,-0.046626981720862326,-0.23925506788113482,True,139955.96679002047,0.014739379812525266,-0.0013335012768433963,0.07266963961925477,-0.09559251033899152,0.2488673802478676
E4,缅甸佤邦宣布 8 月起停止锡矿开采,MSB.AX,股票,ok,2023-04-17,0.05208293292819066,-0.009900506954006905,-0.019802072020220662,0.1336634103989649,0.23267358377438452,-0.6435644775300225,-0.7482018995697729,True,1717603.588703517,-0.02021409377435257,0.1323299091221215,0.13867681396326859,-0.6925300061481517,0.0068324730946169865
E4,缅甸佤邦宣布 8 月起停止锡矿开采,SPY(基准),基准,ok,2023-04-17,0.045250459833573675,0.0035880966491261823,0.0004120217541319082,0.0013335012768433963,0.09399676981111593,0.048965528618129195,-0.07582704173387278,True,36498328634.730125,,,,,
E5,胡塞武装开始袭击红海商船,ZIM,股票,ok,2023-11-20,-0.1003541389287328,-0.07874013029780069,-0.13517060408639703,0.266404049971237,0.6548555058964791,1.4986875964975654,-0.38333324476226105,True,24687742.835888863,-0.1443544680468717,0.20878248972759628,0.5422859328139849,1.329508785395338,-0.17063129756501283
E5,胡塞武装开始袭击红海商船,MATX,股票,ok,2023-11-20,0.09636940116023163,0.009673914443663945,-0.002629024336187613,0.1361724451032833,0.2339569070558396,0.21729342778597482,-0.16197873223083759,True,16474040.305989584,-0.011812888296662272,0.07855088485964257,0.12138733397334533,0.04811461668374739,0.026092242523951592
E5,胡塞武装开始袭击红海商船,STNG,股票,ok,2023-11-20,0.02349739356415803,0.001779626868560591,-0.024559627947788765,0.11658018665956571,0.24518174438478701,0.4335884574191664,-0.09699940470273416,True,56759397.15192159,-0.03374349190826342,0.058958626415924975,0.13261217130229275,0.264409646316939,-0.046779765072122004
E5,胡塞武装开始袭击红海商船,TRMD,股票,ok,2023-11-20,0.15325684718574695,0.019178131067684845,-0.0763152098366161,-0.060531284343112945,0.07900030955025761,0.2548393785579117,-0.1799629511053289,True,13191856.53336525,-0.08549907379709076,-0.11815284458675368,-0.03356926353223666,0.08566056745568429,0.08297968854946691
E5,胡塞武装开始袭击红海商船,FRO,股票,ok,2023-11-20,0.03559563955524436,0.016956911562081123,-0.008707400454352254,-0.03789045061692331,0.12463411457844864,0.26625204386176926,-0.1769401961169682,True,57081984.95317141,-0.017891264414826913,-0.09551201086056404,0.012064541495954373,0.09707323275954183,-0.03468151908103567
E5,胡塞武装开始袭击红海商船,INSW,股票,ok,2023-11-20,0.0330376846536069,0.0017170324450852537,-0.02532733926964026,0.03119770554144563,0.1694267676776533,0.4205947320565375,-0.07066287915304648,True,25186109.618047077,-0.03451120323011492,-0.026423854702195104,0.05685719459515903,0.2514159209543101,-0.03723947398267313
E5,胡塞武装开始袭击红海商船,RNR,股票,ok,2023-11-20,-0.04643118619164888,0.01692375754859543,0.029108868981300606,-0.03148891295805967,0.0985373892793362,0.08283289258861393,-0.12412502510682033,True,88588908.31006368,0.019925005020825948,-0.0891104732017004,-0.014032183803158071,-0.0863459185136135,-0.11670834482792891
E5,胡塞武装开始袭击红海商船,EG,股票,ok,2023-11-20,0.0007068938610694797,0.008579643443368257,0.029452760709487436,-0.07510158736115069,-0.06780347693602007,-0.03591354549860515,-0.1505426926668051,True,133569804.76404826,0.020268896749012777,-0.13272314760479142,-0.18037305001851434,-0.20509235660083258,-0.06957026477521056
E5,胡塞武装开始袭击红海商船,ACGL,股票,ok,2023-11-20,0.010149793163087617,0.010287070961758182,0.010167392479392579,-0.10490428408658159,0.030023943374322792,0.1710526063228628,-0.1560919336068467,True,153170424.46737924,0.00098352851891792,-0.16252584433022232,-0.08254562970817148,0.0018737952206353548,-0.06012736547319242
E5,胡塞武装开始袭击红海商船,BDRY,期货滚动ETF,ok,2023-11-20,0.11458330228924885,0.0,0.21495328629926536,0.5233644262846899,0.9968846639367619,1.0171339027056128,-0.2571258838759951,True,1479521.0538260143,0.2057694223387907,0.4657428660410492,0.8843150908542676,0.8479550916033853,0.04430614365296881
E5,胡塞武装开始袭击红海商船,SPY(基准),基准,ok,2023-11-20,0.07027715863628003,0.007697626206968566,0.009183863960474659,0.057621560243640735,0.11256957308249427,0.16917881110222743,-0.053539136241458896,True,36192875328.82319,,,,,
